Posts,Name,Type
"What do Architects really do? (What%20do%20Architects%20really%20do%202fe1196f2b2d4cce99f682211c43c1aa.md), Fresh Grad to Architect (Fresh%20Grad%20to%20Architect%20d0b929b3eb104810a185e5da7d0b4f82.md), Understanding how the Industry works (Understanding%20how%20the%20Industry%20works%205ee339730c174b258cceb45e4eedd512.md), Parties Involved  (Parties%20Involved%20a620cb07882848ccba6f5f71ba667cd3.md), Design Process in Practice (Design%20Process%20in%20Practice%20a17b7c79986640e4892b4584d1f302aa.md), Working with Consultants (Working%20with%20Consultants%2085ade648787741fa933623cbd2040932.md), Working with Clients (Working%20with%20Clients%2093d63dfa0a364b31ac385dffd6c5ae48.md), Working with Contractors (Working%20with%20Contractors%2032dfad276c064d58a52ab527098817ce.md), Working with Project Briefs (Working%20with%20Project%20Briefs%20b12866ac2b8f4b38bf58d432f982f8ae.md), Design & Coordination Basics (Design%20&%20Coordination%20Basics%202400ac5d47be46c8af1db5e414042990.md), Specialist Design Items (Specialist%20Design%20Items%20274a80120b74411886ad4a5dc1e9c86b.md), Drawings & Specifications (Drawings%20&%20Specifications%202f950de2a60c46709d462ac07907a6dd.md), Building Compliance Basics (Building%20Compliance%20Basics%200ac3588d3ba846c79886f92cfc1869fc.md), What is Good Building Design?  (What%20is%20Good%20Building%20Design%20f688d8fb2e764e95a26c6c362ed18c25.md), Drafting / BIM conventions (Drafting%20BIM%20conventions%208b102cfb488b4671aeeffe0722320e35.md), Building Construction Technologies  (Building%20Construction%20Technologies%20d87f5b0ca04a4bb3ad2bf4e463485cbf.md), Future of Archi Practice / AI in the BE Industry (Future%20of%20Archi%20Practice%20AI%20in%20the%20BE%20Industry%20eb6ff7523510453c85e330ecb521f23e.md), Types of Architectural Practices (Types%20of%20Architectural%20Practices%207ea3205502114603a390312c93b8c852.md), Social Architecture (Social%20Architecture%20a91af98786be4aeeb5798a5497e78b9a.md), Software & Tools for Architects (Software%20&%20Tools%20for%20Architects%206fa3aa6478944c9080937e1423cfd178.md), Parametric Design in Practice (Parametric%20Design%20in%20Practice%201c4b8c0f19a645fb9fe6932fa064f552.md), Parametric Design in Construction (Parametric%20Design%20in%20Construction%20edc39f2c19654da9b6809c06b0c95b22.md), Conservation / Adaptive Reuse (Conservation%20Adaptive%20Reuse%202709f5761bab44759ac78aef97cf2a3f.md), Additions & Alterations (Additions%20&%20Alterations%20062253c0953c4c96a98d5a2982a66546.md), Communication & Negotiation (Communication%20&%20Negotiation%20796e7dbeb7f84e93a48bbb304b30eeee.md), Salary and career progression tips (Salary%20and%20career%20progression%20tips%20909c4985894b4533a0a23b0e363f6eae.md), Getting Licensed  (Getting%20Licensed%2005230d20cc254fbdad7a3bacf9d168dc.md), Next steps (Next%20steps%207cc93405c7d64cb0a2f1563c0dce6680.md)",01 - Industry Basics,Wiki
"Feasibility Studies (Feasibility%20Studies%20348a6ad832734b40a2464db4a10499d2.md), Site Planning & Analysis (Site%20Planning%20&%20Analysis%20683c6623a7a24069a77bd1efdf4c6e24.md), Concept Design (Concept%20Design%20e02759e38d6c404dbe3c5bec71f6c13a.md), Design Methods (Design%20Methods%20e699e282f72c49d1b44407e8519b7b92.md), Parti Diagrams  (Parti%20Diagrams%2017f0277bb74d425aa0dd51336d4c1223.md), Anthropometry (Anthropometry%202c7b435470cc4aefbabe9c4bb881c97f.md), Program & Circulation (Program%20&%20Circulation%207e34530575a24af88c37b3b0764f176d.md), Planning Parameters  (Planning%20Parameters%2041e0862d83364ddf9e883110300e5cdf.md), Massing & Orientation (Massing%20&%20Orientation%201f2909003634440d9257f750583dbc60.md), Building Height & Coverage (Building%20Height%20&%20Coverage%2065ad4d232d7c4f669fb36fc22b3d441f.md), Clear Width & Heights (Clear%20Width%20&%20Heights%20df71bd21f4644678ae886da84f8f9d2b.md), Floor Levels (Floor%20Levels%207427d8148f054eafbd1d3cbd6dd5af3c.md), Slope Gradients (Slope%20Gradients%20a7e045ad1e8b498c822c81242b87e225.md), Floorplate Efficiency (Floorplate%20Efficiency%20a271b4f1bf5549bdb48a9f82a4abe771.md), Driveway Design (Driveway%20Design%20abcc170b79334b638d6896510ce9c860.md), Natural vs Mechanical Ventilation (Natural%20vs%20Mechanical%20Ventilation%205906ca9b40ce4b208e998fe02544bb74.md), Lighting (Daylighting vs Artificial) (Lighting%20(Daylighting%20vs%20Artificial)%208a35268475664b32bd16561deaae56e1.md), Sustainable Design (Sustainable%20Design%2088458ff45ca647738d3d47c8b81d746c.md), Designing for Fire Safety (Designing%20for%20Fire%20Safety%2031f1bb0fe7c745a0acec271744bf057d.md), Occupancy Load (Occupancy%20Load%20a2a84263dca940c48c30319ca7947e30.md), Means of Escape (Means%20of%20Escape%206197c9b251f54c3daa12d2d0028cd6a6.md), Wayfinding & Signages (Wayfinding%20&%20Signages%2002c711e846854c758677443f436d9e63.md)","02 - Urban/Site Planning, Building Design Concepts",Wiki
"Building Components  (Building%20Components%2039e37e8e4031497c8199645b4c1e8b9b.md), Architectural (Non-structural wall, False ceiling, floors etc, Roofing) (Architectural%20(Non-structural%20wall,%20False%20ceiling,%20ae4d598acaec48fc8d2720eabf19fb69.md), Structural (Column, Beam,Hangar, Lintol, Canopy) (Structural%20(Column,%20Beam,Hangar,%20Lintol,%20Canopy)%20a6087bf9867d44abbcbec5e4c6c6a4dc.md), Roofs (Roofs%202e47113a2e9b43748464b6366f4462d0.md), Water Tanks (Water%20Tanks%200c29869bf8eb4fd69429078744bfa661.md), Fencing (Fencing%2055dbe4b09371471cbde27caa2eab7df0.md), Wire Mesh (Wire%20Mesh%20554c52fa73b7471a89384895ce6baccf.md), Drain gratings (Drain%20gratings%20164697ea17d64b76b48c5b7ecc9e8900.md), Retaining Walls (Retaining%20Walls%205c9f0c8ee0964a23b7f84b8418bb7108.md), Planter boxes (Planter%20boxes%207dfafcc76bb04edc81c8b298bf61be52.md), Trees, shurbs, turfing (Trees,%20shurbs,%20turfing%201c05a13a968944e482d91896b2a83dd7.md), Sanitary wares (Sanitary%20wares%207d6693bdb3bb4f7cb7e589d343c4f59e.md), Refuse Chutes (Refuse%20Chutes%20970417d23bd442a797a8f04ef647c971.md), Signages (Signages%20ca01478e651d4383b08562046a260661.md), Acoustic panels insulation STC (Acoustic%20panels%20insulation%20STC%20f4a8575a697d48b39883f7b932e3a26d.md), Lifts (Lifts%20c3a8c82ec8c7452084ade7c382594c2a.md), Catladder / Ship ladder (Catladder%20Ship%20ladder%200d5105bb981c4886a96b533f7b0886a3.md), Aluminum Facade Fins (Aluminum%20Facade%20Fins%20118b4d8f237a4185a749222100792a38.md), Roller shutters (Roller%20shutters%20b0cd1dd772bb4db0a0d096b17aeb44ba.md), Lourve windows (Lourve%20windows%20ff90623c9b5141ae9dff52359e6bd79b.md), Aluminium perforated panel (Aluminium%20perforated%20panel%206de7902333eb48aa9f9745fb3065b8a2.md), Specialist Items (Specialist%20Items%2028a91cc5ed9549b29ef1e87bffac8c69.md), Wall Types & Finishes (Wall%20Types%20&%20Finishes%208fac108e5c5f44af8d82c92e52e763d5.md), Furniture (Furniture%203cda87e68df9436dbfe8ed16288e2f9e.md), Steel (Steel%20ac9f4bf2ff4548e89a529ee6529cb924.md), Landscape (Softscape, Hardscape)  (Landscape%20(Softscape,%20Hardscape)%20534b9a4e6ffa4db19e756094df08ecaa.md), Electrical (Lights, CCTV, LPS) (Electrical%20(Lights,%20CCTV,%20LPS)%20608cef0ca71d420b8b7bca7eda7c6bd7.md), Doors  (Doors%20c4e042059d3b4904aa3ae0b84f738aa7.md), Mechanical (Water, ACMV, Fire fighting sprinkler, Gas, Irrigation) (Mechanical%20(Water,%20ACMV,%20Fire%20fighting%20sprinkler,%20%2097e6376d077b4fd2852dba3def0698e1.md), Prefabricated Bathroom Unit (PBU) (Prefabricated%20Bathroom%20Unit%20(PBU)%20102a4eda41bd4e5dba7b74381e7c44aa.md), Precast Systems (Precast%20Systems%2029f3dde16afb4920ac8b65ab308374b5.md), Concrete & Rebar (Concrete%20&%20Rebar%206b460ab6d37e4bd2aa287cce0387389d.md), Materials (Materials%206d3c0168e4fb450da9b098b425cc560c.md), Glass (Glass%20a8353787cba749a2a6b488deb6efd174.md), Staircases (Staircases%20eb1b4f16d9044e17b5fc520c273ae24b.md), Paints (Paints%202f3675a81c814f9fac4079aac2895d60.md), Ceilings Types (Ceilings%20Types%20357f411e7d164111b93e8a6dd965538d.md), Floor Finishes (Floor%20Finishes%2075c7d05ebbb94e8faed0af76584ea2c6.md), Windows (Windows%209c0a388600c14bde8da1d0460c255ac7.md), Railing (Railing%20cf75d24be67444d5b35b629ffd85d58a.md), Facade Design (Facade%20Design%205dcec590ca71491792c6479317eb93df.md)","03 - Building Components, Materials & Specifications",Wiki
"Measurement Contract (Measurement%20Contract%20a5053763d3eb436a98cabe874620c5f1.md), Progress Meetings (Progress%20Meetings%209dffebbef4d94bab95bbbc648a48ebc0.md), Design & Build (Design%20&%20Build%20540428a988a84cf985167095c0258b5f.md), Fit-for-purpose (Fit-for-purpose%20a7a54472619143999bc3a31f89231661.md), Defects (Latent vs Patent) (Defects%20(Latent%20vs%20Patent)%2048a9cffd49324a598fe7abe99b54946d.md), Building Inspections (Building%20Inspections%20b172037a10894ec08f1acc763d2d407e.md), Statutory Completion (Statutory%20Completion%201ee46f3ed50f468cb7a71b2f5fcb0c55.md), Project Management (RFI, RFA, RVO, AO, Instructions) (Project%20Management%20(RFI,%20RFA,%20RVO,%20AO,%20Instruction%205858d88aede64e2194c39efbe6506351.md), Contract Administration (VO, Delay, Termination, EOT, LD, DLP) (Contract%20Administration%20(VO,%20Delay,%20Termination,%20E%20bb9f27f716b5476488dd401d5287ecfc.md), Cost Analysis, Value Engineering (Cost%20Analysis,%20Value%20Engineering%20516c931fe18949fa80accb76bfd78c45.md), Tender Preparation (Tender%20Preparation%20787673d5e98c46c286667f0f5379b55f.md), Handover (Handover%20e5927c5b2eba4849a6e26b434c7de7ad.md), Project Stages (Project%20Stages%20f367435d822b4589a419bec37044f87b.md), Expression Of Interest (EOI) (Expression%20Of%20Interest%20(EOI)%201b55d77e21444bfba05a17f611aacfbb.md), Limitation Act (Limitation%20Act%20eaa03b755ae44577ab92d43df272698d.md), Technical Meetings (Technical%20Meetings%205c9090a5d0c840de88510911c6e11319.md)",04 - Project Management & Contract Administration,Wiki
"Residential (Residential%2019b60605a86b4498a4af1cdc19507ec6.md), Commercial (Commercial%209a7db115bb5d49ecad7c8fbee8f549ca.md), Office Towers (Office%20Towers%20f4fcbb93b22544fc8d4dd175c86947da.md), Shopping Malls (Shopping%20Malls%20a5cf1a89f09e491dbe2afbd402a34d90.md), Super High Rise (Super%20High%20Rise%20d7ec5928e52a4a36af7083887e6e9021.md), Healthcare (Healthcare%209826b403af1141b7a12edbafda1a5030.md), Places of Worship (Places%20of%20Worship%20c53f014eb961452ca60c42b6a5f55b0f.md), Places of Recreation (Places%20of%20Recreation%20d90b6aa1b217472d9b9bd903e428de7d.md), Schools (Schools%20a567042395604662bd785e829731bf01.md), Factories (Factories%2036b5e6d864254c96bb179c71e3d205ac.md), Transit (Transit%20f2bdb6f92af045c4b62ef7008a3ba83a.md), Airports (Airports%200ae54f34c4c84b318c6381a671beb975.md), Military Buildings (Military%20Buildings%20d853f49a8497480c8280c32aa38cf157.md), Mixed Development (Mixed%20Development%20e396e0e568bb4272aa42d94e4f18a621.md), Restrooms (Restrooms%2003d6375651604c558fe6291beeee12fd.md), Carparks (Carparks%20e46104988595494190637209ea755bd9.md), Electrical Substation (Electrical%20Substation%2051c9c1fcd4c14628ac404d5e294085b6.md), Bin Centre (Bin%20Centre%20acb5a24d30044f53bcb4c9387c9041b7.md), Linkways (Linkways%20b98de9c492db431d81f8af6496c9beac.md), Drop Off Porch (Drop%20Off%20Porch%20a9fec17790db46fb9411a869ea96fe6f.md)",05 - Building Typologies,Wiki
"Area Computation - GFA, Site Area, Plot Ratio, SGFA, AFA, Strata Area (Area%20Computation%20-%20GFA,%20Site%20Area,%20Plot%20Ratio,%20SGF%20ff48b3dbcf594bc0a32c8296d2898b39.md), Building Authorities (Building%20Authorities%20506aee5e48e0403aa23f3daa09d6336d.md), Planning Parameters (Planning%20Parameters%20664a907eb7ef4fbb8d46e68c4ad8696d.md), Site Area (Site%20Area%200732b16bd5f04ae89d7fe126397e7454.md), Building Coverage (Building%20Coverage%20d8ff042950cd4c46837f9384cff29eb5.md), Buffers, Setbacks (Buffers,%20Setbacks%206d284d0d454b465197e04d277c45499f.md), Reserve Lines (Reserve%20Lines%206d882e55a3d1494fbdb40fc52cd7931d.md), Greenery Provision (Greenery%20Provision%200698f0fd82ed4720a9d8b6bf332cfbf2.md), Drainage (Drainage%209c9a527b0a1846e89b2e6d12ed00a3b5.md), Sanitary  (Sanitary%206096c81edfdd47c1bc7e25c4b0956d63.md), Sewerage (Sewerage%2067c39fd5096b4d469e2953fd133cc2a0.md), Environmental Health (Environmental%20Health%20ad59f9efffa64c1dbbca64e2d22b46e6.md), Pollution Control (Pollution%20Control%204ae124c0ab8245eb935753930bd4aabd.md), Noise Control (Noise%20Control%20e5b86494423a420b9bc3fe7e52c594b0.md), Railway Protection (Railway%20Protection%20bbe5fad5153b4d888af4d0b3e74e618e.md), Access Points Location (Access%20Points%20Location%200c46e67db4f149cbbff766b010806635.md), Vehicle Parking (Vehicle%20Parking%20d6b73dd5648d490e89304fe1e4720d20.md), Approved Document (Approved%20Document%2070a5787490004ee3a0f1b1e74392ad89.md), Buildability (Buildability%20bd8325bc0c154ff0877e24308b766ce4.md), Sustainability (Sustainability%206bd92b25cca942948683ec2dc89ce777.md), Accessibility (Accessibility%2078b829cb95634a5296f8e3578cc91255.md), Connectivity (Connectivity%202ad9d7945db44b03b3dd91cb549ec85b.md), Security (Security%2027c3915532764079a49f3b1f0b7916bf.md), Safety (Safety%209142b4dd644047ddab4c579a2d61f9f0.md), Maintainability (Maintainability%20d0755b53bb0e4f2fa1e831fb444cee04.md), Universal Design (Universal%20Design%201c368bcab0f848b290ac875445dbf05f.md), Fire Safety (Fire%20Safety%206c6defae04b144ab822ef1ac022221d2.md), Letterboxes (Letterboxes%207fc21e9636644aa78543785999ca1b20.md), Other Authorities (Other%20Authorities%207b34161997f94afb93fb15581c086440.md)",06 - Building Code Compliance,Wiki
"Water (Water%20e8e3ed3190f64ac08d7f3b44f43a8e6d.md), Gas (Gas%20e4d721e2c9654dab953126fd74c27735.md), Telecom (Telecom%203dc719126b8846c6b09d19a38f812bb8.md), Electricity (Electricity%20b695b916c46b48c78bbc45c9d24dd6ff.md), Sanitary/Sewerage (Sanitary%20Sewerage%2051ba9f2324df474e9393b54faae9a6ed.md), Fire Hydrant (Fire%20Hydrant%2032cceb70b0d7411e95929c02816f6d7e.md), Breeching Inlet / Dry & Wet Riser / Hosereel (Breeching%20Inlet%20Dry%20&%20Wet%20Riser%20Hosereel%20a0fef576ae2c4da68c3ed395ac4137cd.md), Sprinkler (Sprinkler%20cad2483a72e74d0f86f16238ab5ce9e0.md), ACMV (ACMV%209be9415eab44470786e596983ae05634.md), CCS / Cooling Towers (CCS%20Cooling%20Towers%20f69372b4f35f4db5b1af451b7f311b62.md), PWCS (PWCS%20575d32f3be3b4ff6abbf9ae030bd3323.md), CCTV / Security (CCTV%20Security%2068b4df5347b64b7b92fa69e888369495.md), Fibre (Fibre%202a9b78cdda18496ca7ed6cc7328f5009.md), Mobile Operators (Mobile%20Operators%204bb9edd5fce84130b6419da2cc656fb9.md)",07 - Building Services,Wiki
,Contact,Main
,Content Collab & Sponsorships,Main
,Calculators,Resources
,"Contract Types (Singapore) ",Resources
,"Singapore Building Codes & Guides ",Resources
,View All Posts,Main
,View All Resources,Main
,About Gabriel Chek,Main